selection,eventdate,eventtime,stake,odds,return
Draw or Desportivo Brasil ,17/09/2020,22:32:12,"3,000.00",1.66,0.00
(6-0) Iceland Women -3.5,17/09/2020,21:44:53,"3,000.00",1.900,0.00
Over 116.5,17/09/2020,20:55:44,"3,000.00",1.80,"5,400.00"
Over 112.5,17/09/2020,20:53:25,"3,000.00",1.83,"5,500.00"
Over 120.5,17/09/2020,20:52:36,"3,000.00",1.83,0.00
Under 164.5,17/09/2020,19:30:37,"3,000.00",1.83,0.00
DAL Mavericks (Zo0m) Esports -3.5,17/09/2020,19:18:04,"3,000.00",1.83,0.00
Under 164.5,17/09/2020,19:15:04,"3,000.00",1.83,0.00
Linense ,17/09/2020,19:11:42,"3,000.00",1.80,"5,400.00"
Rio Preto ,17/09/2020,19:10:36,"3,000.00",2.25,"2,250.00"
Rio Preto ,17/09/2020,19:10:06,"3,000.00",2.25,0.00
"Vasco da Gama 0.0,+0.5",17/09/2020,18:54:26,"3,000.00",2.025,0.00
DAL Mavericks (Zo0m) Esports ,17/09/2020,18:51:25,"3,000.00",2.00,"6,000.00"
Under 7.0,17/09/2020,18:48:35,"3,000.00",1.95,0.00
(0-0) Shahr Khodro 0.0,17/09/2020,18:31:08,100.00,2.825,0.00
HK SKP Poprad -0.5,17/09/2020,18:27:00,100.00,1.85,185.00
(1-1) Over 3.0,17/09/2020,18:09:37,"3,000.00",1.750,0.00
Persepolis ,17/09/2020,18:07:19,100.00,1.80,180.00
GS Warriors (Tranquil) Esports -2.5,17/09/2020,17:47:44,"3,000.00",1.83,"5,500.00"
"Pakhtakor Tashkent 0.0,+0.5",17/09/2020,16:37:20,100.00,2.000,150.00
Over 152.5,17/09/2020,16:25:42,"3,000.00",1.83,0.00
MIA Heat (Tranquil) Esports -3.5,17/09/2020,16:05:44,"3,000.00",1.83,"5,500.00"
Under 151.5,17/09/2020,15:53:16,"4,000.00",1.83,"7,333.34"
Under 151.5,17/09/2020,15:53:16,"4,000.00",1.80,"7,200.00"
Under 148.5,17/09/2020,15:53:16,"4,000.00",1.83,"7,333.34"
"(1-1) Over 3.5,4.0",17/09/2020,15:40:31,"3,000.00",1.775,0.00
(1-3) Over 5.5,17/09/2020,15:33:41,"3,000.00",2.200,"6,600.00"
CHI Bulls (Zo0m) Esports +1.5,17/09/2020,15:28:56,"3,000.00",1.76,"5,307.70"
MIA Heat (Tranquil) Esports -4.5,17/09/2020,15:21:56,"3,000.00",1.83,"5,500.00"
Under 138.5,17/09/2020,14:51:14,"3,000.00",1.83,"5,500.00"
CHI Bulls (Zo0m) Esports -1.5,17/09/2020,14:46:34,"3,000.00",1.86,"5,608.70"
Under 161.5,17/09/2020,14:43:18,"3,000.00",1.76,"5,307.70"
Over 151.5,17/09/2020,14:31:15,"3,000.00",1.76,0.00
Over 170.5,17/09/2020,13:57:19,"3,000.00",1.83,0.00
Riga FC -4.0,17/09/2020,13:33:01,"4,000.00",2.350,"4,000.00"
"Riga FC -1.0,-1.5",17/09/2020,13:32:37,"4,000.00",1.650,"4,000.00"
Riga FC -4.0,17/09/2020,13:30:39,100.00,2.600,100.00
Toluca Women ,17/09/2020,13:17:58,100.00,1.61,0.00
Over 3.0,17/09/2020,12:50:35,"3,000.00",1.800,"5,400.00"
West Ham 0.0,17/09/2020,12:02:56,"3,000.00",2.050,"6,150.00"
Under 167.5,17/09/2020,10:42:20,"3,000.00",1.83,0.00
Rosenborg -1.5,17/09/2020,10:05:29,"3,000.00",1.975,"5,925.00"
Dominik Koepfer ,17/09/2020,09:58:30,"3,000.00",3.40,"10,200.00"
Ugo Humbert  -1.5,17/09/2020,08:01:11,"3,000.00",1.80,"5,400.00"
